  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Mukul Agrawal,MPS Ltd.,130,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.4%
Mukul Agrawal,Neuland Laboratories Ltd.,284,3.1%,3.1%,3.3%,3.1%,3.1%,2.9%,2.9%,2.9%,2.7%
Mukul Agrawal,Pearl Global Industries Ltd.,49,3.4%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%
Mukul Agrawal,Prakash Industries Ltd.,44,1.4%,1.4%,-,-,-,-,-,-,-
Mukul Agrawal,Radico Khaitan Ltd.,220,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
Mukul Agrawal,Raymond Ltd.,180,1.5%,1.5%,1.7%,1.8%,1.8%,1.7%,1.7%,1.5%,-
Mukul Agrawal,Sarda Energy & Minerals Ltd.,89,1.2%,1.2%,1.2%,1.2%,1.2%,1.1%,1.1%,1.1%,-
Mukul Agrawal,Thomas Cook (India) Ltd.,81,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.3%
Mukul Agrawal,Intellect Design Arena Ltd.,256,1.7%,1.7%,1.8%,1.8%,1.8%,-,1.7%,1.7%,1.7%
Mukul Agrawal,Zen Technologies Ltd.,109,1.3%,1.3%,1.3%,-,-,-,-,-,-
Mukul Agrawal,Vidhi Specialty Food Ingredients Ltd.,39,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%
Mukul Agrawal,KDDL Ltd.,109,3.4%,3.4%,3.4%,3.4%,3.3%,3.3%,3.3%,3.4%,3.5%
Mukul Agrawal,Tasty Bite Eatables Ltd.,40,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%
Mukul Agrawal,Apollo Pipes Ltd.,106,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%
Mukul Agrawal,Sahyadri Industries Ltd.,10,2.4%,2.4%,2.4%,2.2%,2.2%,2.2%,2.2%,2.5%,2.4%
Mukul Agrawal,Raghav Productivity Enhancers Ltd.,22,1.6%,1.6%,1.6%,1.6%,1.6%,-,-,-,-
Mukul Agrawal,TAAL Enterprises Ltd.,82,8.9%,8.9%,8.9%,8.9%,-,-,8.9%,8.9%,8.9%
Mukul Agrawal,BSE Ltd.,464,1.5%,1.5%,-,-,-,-,-,-,-
Mukul Agrawal,Shankara Building Products Ltd.,41,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,-
Mukul Agrawal,Dishman Carbogen Amcis Ltd.,224,5.2%,5.2%,5.2%,4.3%,3.5%,3.3%,3.3%,3.3%,3.2%
Mukul Agrawal,Zota Healthcare Ltd.,91,6.8%,6.8%,5.2%,5.2%,5.2%,4.9%,4.9%,4.9%,4.9%
Mukul Agrawal,Sirca Paints India Ltd.,54,2.9%,3.0%,3.0%,3.0%,3.1%,3.1%,3.1%,3.1%,3.1%
Mukul Agrawal,Suryoday Small Finance Bank Ltd.,56,2.8%,2.8%,2.8%,1.9%,1.9%,-,-,-,-
Mukul Agrawal,Tracxn Technologies Ltd.,20,1.9%,2.0%,2.0%,2.0%,2.0%,-,-,-,-
Mukul Agrawal,Sula Vineyards Ltd.,113,2.4%,2.4%,2.4%,2.4%,1.9%,-,-,-,-
Mukul Agrawal,Delta Corp Ltd.,-,-,-,1.2%,1.1%,1.1%,1.5%,1.2%,1.1%,1.1%
Mukul Agrawal,Dynamatic Technologies Ltd.,-,-,-,-,-,-,-,-,-,1.2%
Mukul Agrawal,Eveready Industries India Ltd.,-,-,-,-,-,-,-,-,2.8%,2.2%
Mukul Agrawal,Allcargo Gati Ltd.,-,-,-,5.4%,5.4%,5.4%,5.7%,5.7%,5.7%,5.7%
Mukul Agrawal,G M Breweries Ltd.,-,-,-,-,-,-,-,1.4%,-,1.6%
Mukul Agrawal,Goldiam International Ltd.,-,-,-,1.3%,2.3%,2.8%,2.8%,2.8%,2.8%,2.8%
Mukul Agrawal,Kanoria Chemicals & Industries Ltd.,-,-,-,1.2%,1.3%,1.4%,1.4%,-,-,-
Mukul Agrawal,Kamdhenu Ltd.,-,-,-,-,-,-,3.9%,3.9%,3.9%,3.9%
Mukul Agrawal,Marksans Pharma Ltd.,-,-,-,-,-,-,-,1.2%,1.2%,1.2%
Mukul Agrawal,Mastek Ltd.,-,-,-,-,-,-,-,1.1%,1.0%,1.1%
Mukul Agrawal,OnMobile Global Ltd.,-,-,-,-,-,-,1.1%,1.2%,1.6%,-
Mukul Agrawal,Repro India Ltd.,-,-,-,-,-,-,-,-,3.1%,4.8%
Mukul Agrawal,Suzlon Energy Ltd.,-,-,-,1.0%,-,-,-,-,-,-
Mukul Agrawal,Vardhman Special Steels Ltd.,-,-,-,1.2%,1.2%,1.2%,1.2%,1.2%,1.3%,1.3%
Mukul Agrawal,Parag Milk Foods Ltd.,-,-,-,-,-,1.7%,1.8%,2.1%,2.1%,2.1%
Mukul Agrawal,Stylam Industries Ltd.,-,-,-,-,-,1.2%,-,-,-,-
Mukul Agrawal,PTC Industries Ltd.,-,-,-,-,-,-,1.0%,-,-,-
Mukul Agrawal,SG Finserve Ltd.,-,-,-,2.4%,2.4%,2.4%,2.1%,-,-,-
Mukul Agrawal,CL Educate Ltd.,-,-,-,-,1.1%,1.2%,1.2%,1.1%,-,-
Mukul Agrawal,Newgen Software Technologies Ltd.,-,-,-,1.1%,1.4%,1.6%,1.6%,1.6%,1.6%,1.6%
Mukul Agrawal,Thejo Engineering Ltd.,48,1.7%,1.7%,-,1.7%,-,-,-,1.7%,-
Mukul Agrawal,Jet Freight Logistics Ltd.,-,-,-,-,-,-,2.5%,4.1%,4.1%,5.7%
Mukul Agrawal,MTAR Technologies Ltd.,-,-,-,-,-,-,1.1%,1.1%,1.1%,1.3%
Mukul Agrawal,EKI Energy Services Ltd.,-,-,-,-,1.1%,1.6%,1.6%,1.9%,1.9%,1.9%
